SiteID,948526,Site Timezone,-9,Data Timezone,0,Longitude,-151.70409,Latitude,60.70251
Year,Month,Day,Hour,Minute,wind direction at 120m (deg),wind speed at 120m (m/s)
2019,1,1,0,0,197.44,12.370000000000001
2019,1,1,1,0,182.15,9.27
2019,1,1,2,0,176.23,8.71
2019,1,1,3,0,185.85,10.14
2019,1,1,4,0,196.49,4.41
2019,1,1,5,0,87.01,2.6
2019,1,1,6,0,62.09,7.17
2019,1,1,7,0,100.26,15.96
2019,1,1,8,0,49.89,11.200000000000001
2019,1,1,9,0,63.81,9.24
2019,1,1,10,0,73.53,18.84
2019,1,1,11,0,53.69,21.98
2019,1,1,12,0,45.38,19.64
2019,1,1,13,0,63.11,21.22
2019,1,1,14,0,132.87,16.06
2019,1,1,15,0,142.87,22.91
2019,1,1,16,0,141.13,18.94
2019,1,1,17,0,147.8,17.77
2019,1,1,18,0,160.5,18.39
2019,1,1,19,0,173.63,21.53
2019,1,1,20,0,186.74,21.92
2019,1,1,21,0,185.82,22.39
2019,1,1,22,0,196.28,24.87
2019,1,1,23,0,197.48000000000002,22.45
2019,1,2,0,0,193.68,21.490000000000002
2019,1,2,1,0,192.79,21.43
2019,1,2,2,0,184.39000000000001,19.29
2019,1,2,3,0,182.9,16.39
2019,1,2,4,0,181.94,16.54
2019,1,2,5,0,194.71,16.490000000000002
2019,1,2,6,0,209.16,15.73
2019,1,2,7,0,209.91,14.14
2019,1,2,8,0,195.14000000000001,8.75
2019,1,2,9,0,197.82,9.4
2019,1,2,10,0,246.23000000000002,12.47
2019,1,2,11,0,264.48,18.92
2019,1,2,12,0,263.73,20.27
2019,1,2,13,0,297.6,11.72
2019,1,2,14,0,284.16,15.52
2019,1,2,15,0,276.72,17.36
2019,1,2,16,0,269.99,21.96
2019,1,2,17,0,269.81,18.47
2019,1,2,18,0,287.76,12.5
2019,1,2,19,0,292.96,9.700000000000001
2019,1,2,20,0,293.66,6.98
2019,1,2,21,0,296.11,10.59
2019,1,2,22,0,277.07,6.57
2019,1,2,23,0,285.79,11.53
2019,1,3,0,0,297.28000000000003,10.91
2019,1,3,1,0,353.07,4.45
2019,1,3,2,0,306.17,7.63
2019,1,3,3,0,56.68,3.87
2019,1,3,4,0,346.37,8.65
2019,1,3,5,0,348.36,8.58
2019,1,3,6,0,359.91,6.74
2019,1,3,7,0,359.19,4.32
2019,1,3,8,0,326,2.0100000000000002
2019,1,3,9,0,281.79,1.36
2019,1,3,10,0,32.05,0.85
2019,1,3,11,0,9.66,1.47
2019,1,3,12,0,21.63,3.6
2019,1,3,13,0,10.17,3.2600000000000002
2019,1,3,14,0,8.1,3.34
2019,1,3,15,0,26.810000000000002,3.65
2019,1,3,16,0,22.5,4.58
2019,1,3,17,0,23.67,6.21
2019,1,3,18,0,34.54,6.890000000000001
2019,1,3,19,0,42.72,6.6000000000000005
2019,1,3,20,0,46.75,6
2019,1,3,21,0,53.300000000000004,5.44
2019,1,3,22,0,55.7,5.62
2019,1,3,23,0,49.21,5.41
2019,1,4,0,0,50.85,5.87
2019,1,4,1,0,55.7,4.3500000000000005
2019,1,4,2,0,50.85,4.75
2019,1,4,3,0,46.94,4.25
